frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
43.0,0.9553848,0.8568201,0.91994786,0.49762383,0.74301744,0.98942626,0.9915131,0.95062643,0.96734244,0.9364421,0.953544,0.9959053,0.99639446,0.99477947,0.99558973,0.9877407,0.98905075
44.0,0.9547235,0.83923274,0.9291362,0.43965763,0.7883342,0.98775256,0.9922753,0.9396651,0.9724832,0.9263268,0.9592268,0.995433,0.9964987,0.9942986,0.99583864,0.9870335,0.9895863
45.0,0.95473737,0.8397464,0.9291587,0.44066957,0.7885788,0.98801106,0.9922806,0.9411562,0.97228575,0.9275749,0.9589438,0.995551,0.99654096,0.99442357,0.99586546,0.9872356,0.98962396
46.0,0.95412564,0.83775,0.9280441,0.44011414,0.78751284,0.9880846,0.9922627,0.94146645,0.9720747,0.92755973,0.958515,0.9956045,0.9965642,0.9944728,0.995877,0.9873319,0.98965245
47.0,0.95458233,0.8349316,0.93116826,0.4257619,0.7976962,0.98741746,0.99243164,0.93728614,0.9733955,0.9241311,0.9602112,0.99539894,0.9965624,0.9942834,0.9959396,0.9870596,0.989808
48.0,0.9543518,0.8366491,0.92978877,0.43195444,0.7925324,0.9876995,0.9922172,0.93928605,0.97215647,0.9256999,0.95869994,0.9954823,0.9965192,0.99439126,0.9958807,0.98725665,0.9897078
49.0,0.95442736,0.83673376,0.9296414,0.43241817,0.7915361,0.98759115,0.99227715,0.9384773,0.97250056,0.925023,0.9591259,0.99546045,0.99654204,0.9943652,0.99591595,0.98721385,0.9897808
50.0,0.95376474,0.8302764,0.9309477,0.417483,0.800722,0.98700595,0.9924285,0.93431157,0.9734518,0.92077,0.9599136,0.9952435,0.9965109,0.9940637,0.99586535,0.9866433,0.98963004
51.0,0.9542314,0.8327982,0.9310379,0.42259887,0.7993873,0.98724115,0.99244857,0.9356827,0.973384,0.9220778,0.95988196,0.9952734,0.99650156,0.9940445,0.9958111,0.9865022,0.98944306
52.0,0.9541907,0.83214986,0.9314343,0.4193477,0.80071867,0.98715776,0.99243355,0.9354895,0.9734795,0.92208195,0.9600931,0.99528956,0.9965203,0.9941016,0.9958609,0.9866348,0.9895654
53.0,0.9546624,0.8368337,0.9306014,0.42973793,0.79387254,0.9874703,0.99225473,0.9377435,0.9725166,0.9243599,0.9591734,0.9953885,0.9965,0.99430615,0.99588877,0.98711735,0.98972964
54.0,0.9545814,0.8347813,0.9313338,0.4244042,0.7974956,0.98709446,0.99238974,0.93488157,0.97322065,0.92155933,0.9598321,0.9952468,0.99649435,0.994111,0.995878,0.98677325,0.98970044
55.0,0.9546886,0.8397952,0.9289361,0.43989727,0.78575,0.9875174,0.99211407,0.9379139,0.9715881,0.92423856,0.95793283,0.99534,0.99642354,0.9942121,0.99577504,0.98689574,0.9894776
56.0,0.9547453,0.8485072,0.9232369,0.47144693,0.7602641,0.9884686,0.9917892,0.9442427,0.96929026,0.93002427,0.9553458,0.9956358,0.9964174,0.9945109,0.9956986,0.98740757,0.9893582
57.0,0.9550313,0.8503012,0.92332137,0.47553787,0.7594842,0.9887217,0.9917828,0.9458266,0.9691049,0.93160725,0.9552299,0.99570775,0.9964258,0.99457717,0.9956809,0.98747873,0.9892866
58.0,0.95492595,0.8453601,0.92638594,0.458109,0.77436125,0.98841536,0.99203485,0.94393027,0.9707097,0.93012875,0.95716244,0.99567115,0.996507,0.9945773,0.9958181,0.98757344,0.9896069
59.0,0.9552758,0.8377243,0.93184155,0.43097785,0.79912984,0.98801476,0.99261343,0.9409087,0.97395915,0.9278137,0.9610779,0.99557483,0.99664176,0.99440104,0.9959478,0.9871551,0.9897329
60.0,0.9544317,0.83521575,0.93069106,0.4280022,0.79738355,0.9878441,0.9924233,0.94014657,0.97318125,0.92674637,0.9600033,0.99553716,0.9965887,0.99440295,0.99591947,0.98723143,0.989737
61.0,0.95505965,0.84356624,0.9284576,0.44840705,0.7831114,0.9886236,0.99199295,0.9460106,0.97078145,0.9325984,0.9575559,0.99577206,0.9965229,0.9947359,0.99585056,0.98785245,0.9896535
62.0,0.9551997,0.8444651,0.92831326,0.45050594,0.78173864,0.98862886,0.9919397,0.94592494,0.9704771,0.932405,0.95717806,0.9957344,0.99648005,0.9946682,0.9957865,0.98767716,0.9894867
63.0,0.9552213,0.8446102,0.92843205,0.4507046,0.7822517,0.9887271,0.991955,0.94640905,0.97043264,0.9328522,0.9571219,0.9957931,0.9965119,0.9947543,0.99583083,0.9878786,0.98961264
64.0,0.95565426,0.84768826,0.9279901,0.45888618,0.77857065,0.9889788,0.9919292,0.9479947,0.9700962,0.93446416,0.95680934,0.99581367,0.9964765,0.994722,0.9957365,0.98770577,0.98933756
65.0,0.95450324,0.8437308,0.92637384,0.4545184,0.7771565,0.98878807,0.9918641,0.9465456,0.969779,0.93245816,0.956083,0.995814,0.99649966,0.9947573,0.9957973,0.98786384,0.98953617
66.0,0.95504457,0.84443194,0.9279089,0.4528455,0.781746,0.9887998,0.9920144,0.9465768,0.9705502,0.93280417,0.9571274,0.9957967,0.9965193,0.99471116,0.9958001,0.98772264,0.9894867
67.0,0.95489085,0.84675294,0.9262911,0.46083546,0.77474517,0.98902136,0.9917796,0.9482296,0.9692076,0.9342048,0.9555611,0.9958461,0.99645823,0.9947643,0.9957104,0.98780847,0.98931575
68.0,0.95488256,0.8488179,0.92443687,0.46918523,0.766312,0.9891685,0.9916466,0.94939655,0.9685334,0.9353791,0.9548669,0.99588203,0.99643266,0.99479914,0.9956707,0.98784375,0.98922616
69.0,0.9546497,0.847181,0.92436564,0.46640915,0.7676255,0.98903507,0.9917374,0.9484275,0.9690893,0.9343843,0.9554305,0.9958509,0.9964579,0.9947573,0.99570435,0.9877708,0.9892904
70.0,0.9545024,0.85069317,0.9219989,0.47821638,0.75710976,0.98941296,0.99142355,0.9511891,0.9672677,0.9369833,0.9534532,0.99597824,0.9964154,0.9949313,0.995652,0.98810893,0.98922753
71.0,0.95462817,0.8447684,0.9256149,0.4587981,0.77375776,0.9888403,0.99191535,0.9470932,0.97015935,0.9332261,0.9566598,0.9958162,0.9965094,0.99472624,0.99578357,0.9877273,0.98944634
72.0,0.9545251,0.84385115,0.9260134,0.455548,0.7755892,0.98874205,0.9919037,0.94669056,0.97024834,0.93292385,0.95679563,0.99579525,0.9965044,0.9947225,0.9957955,0.98775977,0.9894995
73.0,0.954572,0.84151757,0.9274765,0.44805244,0.78223747,0.98847824,0.99209607,0.9446602,0.97124445,0.9309936,0.9578375,0.99570966,0.9965312,0.99460757,0.99583024,0.9875579,0.98955965
74.0,0.9538723,0.8397592,0.92625993,0.44675833,0.7805782,0.98863155,0.991928,0.9455705,0.9703006,0.93145216,0.95661503,0.99580884,0.9965379,0.9947634,0.99585944,0.98793286,0.9897001
